item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Sand (10 Wheel),1,8000.0,8000.0,2025-04-21,Roof Concreting,1st Floor,72.85
Nail(concrete),3,30.0,90.0,2025-04-22,Roof Concreting,1st Floor,72.85
AcroJack Rental(19 Days) ,25,2.5,1150.0,2025-04-22,Roof Concreting,1st Floor,72.85
Acrojack Transport ,1,700.0,700.0,2025-04-22,Roof Concreting,1st Floor,72.85
Nail(kg),3,100.0,300.0,2025-04-22,Roof Concreting,1st Floor,72.85
Nail(kg),4,100.0,400.0,2025-04-22,Roof Concreting,1st Floor,72.85
Sand (10 Wheel),1,8000.0,8000.0,2025-04-22,Roof Concreting,1st Floor,72.85
Plywood Rental(2 Days)Concrete Side,50,25.0,2500.0,2025-04-23,Roof Concreting,1st Floor,72.85
Plywood Transport ,1,1000.0,1000.0,2025-04-23,Roof Concreting,1st Floor,72.85
Plywood Return Transport ,1,800.0,800.0,2025-04-25,Roof Concreting,1st Floor,72.85
No change BuwaFaye Balance ,1,25.0,25.0,2025-04-25,Roof Concreting,1st Floor,72.85
Other Miscalculation ,1,353.0,353.0,2025-04-25,Roof Concreting,1st Floor,72.85
Momo Waggeh Salary (May) ,1,4000.0,4000.0,2025-05-02,Roof Concreting,1st Floor,72.85
